currency,datetime_start,datetime_end,min_bid_amount,name,meta_description,short_description,long_description,base_total_estimated_value,total_estimated_value,highest_bid,bidvibe_profit,priority,status,state_id
EUR,2023-01-20 00:00:00,2023-01-20 00:00:00,128000.00,Old Timer JAGUAR XK150,"Jaguar: it is more than just a car you buy, it is a sign of respect you own.","Regarding the Jaguar XK150, the successor to both the XK120 and the XK140, the type name referred to the car's top speed in miles per hour. Although the XK150 fell just short of that speed, at the time it was one of the fastest production cars in the world at an impressive 135 miles per hour. Despite this minor disappointment, these cars remain absolutely stunning!","The XK150 is distinguished from its predecessors by the curved windscreen, which is now a single piece instead of a split window. In addition, the grille in the nose is slightly wider and the windscreen has been moved back slightly, giving the nose an even more imposing look. Our XK150 underwent a thorough restoration in 2002, so the car is currently in excellent condition. The beige interior evokes associations with the seats in the back rooms of Windsor Castle, and in harmony with the deep dark blue exterior, this example really makes a statement on the road. Owning a classic car like the Jaguar XK150 is a source of pride and joy for enthusiasts who appreciate the craftsmanship and attention to detail behind its creation. Whether you are looking for a solid investment or just want to experience the excitement of driving a true classic, the Jaguar XK150 undoubtedly deserves your attention. What makes our example special? Apart from its aesthetic features, this XK150 has also undergone a technical metamorphosis during its restoration. Besides a complete engine overhaul, this British beauty boasts a BMW gearbox, which only further enhances the driving pleasure. In short, an ultimate gentleman sports car ready for many enjoyable miles!",129500.00,129500.00,,,1,true,11
USD,2024-02-01 09:00:00,2024-02-05 17:00:00,1000.00,Vintage Painting,A classic masterpiece,An exquisite vintage painting with intricate details. Perfect for art collectors and enthusiasts.,"An exquisite vintage painting with intricate details. This classic masterpiece is a testament to the skill of the artist, capturing a moment in time with unparalleled beauty. Perfect for art collectors and enthusiasts who appreciate the timeless elegance of fine art.",10000,12000,,,1,true,11
EUR,2024-02-03 12:00:00,2024-02-08 20:00:00,500.00,Antique Clock,Timeless elegance,A rare antique clock with intricate craftsmanship. Adds a touch of history to any home.,"A rare antique clock that exudes timeless elegance. With intricate craftsmanship and a rich history, this clock is not just a timepiece but a work of art. Add a touch of sophistication to your home with this unique and collectible antique.",8000,10000,,,1,true,11
GBP,2024-02-05 15:00:00,2024-02-10 22:00:00,750.00,Rare Coin Collection,Numismatic treasures,A curated collection of rare coins from different eras. A must-have for coin enthusiasts.,"A curated collection of rare coins from different eras, each telling a story of its own. These numismatic treasures are a must-have for coin enthusiasts and collectors. Explore the fascinating world of currency history with this diverse and valuable collection.",15000,18000,,,1,true,11
JPY,2024-02-08 10:00:00,2024-02-13 18:00:00,20000.00,Japanese Tea Set,Zen-inspired design,Authentic Japanese tea set with delicate porcelain. Enhance your tea-drinking experience. ,"Immerse yourself in the art of tea with this authentic Japanese tea set. Crafted with delicate porcelain and featuring a Zen-inspired design, this set enhances the ritual of tea-drinking. Bring a touch of Japanese culture to your tea moments with this exquisite collection.",20000,25000,,,1,true,11
AUD,2024-02-10 14:00:00,2024-02-15 21:00:00,1200,Aboriginal Artwork,Indigenous creativity,A vibrant piece of Aboriginal artwork showcasing cultural stories and traditions. ,"A vibrant piece of Aboriginal artwork that showcases cultural stories and traditions. This unique creation is a celebration of Indigenous creativity, offering a visual journey into the rich heritage of the Aboriginal people. A valuable addition to any art collection.",6000,8000,,,1,true,11
CAD,2024-02-12 11:00:00,2024-02-17 19:00:00,800,Canadian Maplewood Chair,Rustic elegance,Handcrafted maplewood chair with a touch of Canadian wilderness. Perfect for cozy corners.,"Embrace rustic elegance with this handcrafted maplewood chair. Inspired by the Canadian wilderness, this chair brings a touch of nature indoors. Perfect for creating cozy corners and adding a warm, natural element to your living space.",2500,3000,,,1,true,11
USD,2024-02-15 13:00:00,2024-02-20 20:00:00,1500,Diamond Necklace,Timeless glamour,A dazzling diamond necklace that adds a touch of elegance to any occasion. ,"Indulge in timeless glamour with this dazzling diamond necklace. The epitome of sophistication, this piece is designed to enhance your elegance on any occasion. Make a statement and add a touch of luxury to your jewelry collection with this exquisite necklace.",20000,25000,,,1,true,11
EUR,2024-02-17 16:00:00,2024-02-22 23:00:00,600,Vintage Typewriter,Nostalgic charm,"A well-preserved vintage typewriter, a collector's item for those who appreciate classic writing.","Nostalgia meets functionality with this well-preserved vintage typewriter. A collector's item for those who appreciate classic writing instruments, this typewriter is a symbol of a bygone era. Perfect for writers and enthusiasts who value the charm of vintage craftsmanship.",1500,2000,,,1,true,11
GBP,2024-02-20 09:00:00,2024-02-25 17:00:00,900,Antique Telescope,Celestial exploration,"Explore the skies with this antique telescope, a unique piece for astronomy enthusiasts.","Embark on a journey of celestial exploration with this antique telescope. A unique piece with historical significance, this telescope allows you to gaze at the stars in style. Ideal for astronomy enthusiasts and collectors who appreciate the wonders of the cosmos.",10000,12500,,,1,true,11
JPY,2024-02-22 12:00:00,2024-02-27 20:00:00,25000,Samurai Sword Set,Martial arts elegance,A set of authentic samurai swords with historical significance. Perfect for collectors. ,"Immerse yourself in the elegance of martial arts with this set of authentic samurai swords. Each sword carries historical significance and represents the craftsmanship of a bygone era. A must-have for collectors and enthusiasts who appreciate the artistry and legacy of the samurai.",3000000,350000,,,1,true,11
